URL,content,Commercial/promotional,Content delivery,Entertainment,Error message,Gateway,Index,Informative,Journalistic,Scientific
http://www.cybersexnetwork3.com/hardbodies/bukkake/index.html,{'summary_text': 'We are currently manufacturing folding razor knives (HR207) to Mil Spec. R-365408 which are used by the U.S. Military . We also added the SERE folding Utility Saw with a Swiss made 18 TPI saw blade installed .'},0,0,0,0,0,1,0,0,0
http://www.dirty-cartoonpictures.com/,"{'summary_text': 'if you attended one of the following institutions, which closed in 2023, click here for important closed school information . Privacy and Cookies Policy Terms of Use .'}",0,1,1,0,0,0,0,0,0
http://www.mrs-silk.com/topsites/topsites.html,"404 Not Found, Error: Name or service not known",0,0,0,0,0,1,0,0,0
http://www.findpics.net/,{'summary_text': '404 Not Found error was encountered while trying to use ErrorDocument .'},0,1,0,0,0,0,0,0,0
http://www.nakedpass.com/webmaster/webmasters.php,"404 Not Found, Error: Name or service not known",0,1,1,0,0,0,0,0,0
http://www.firsttimersclub.com/bimbo/index.htm,"404 Not Found, Error: Name or service not known",0,0,0,0,0,1,0,0,0
http://www.freesexyasian.com/,"{'summary_text': 'You visited other big tits tubes before, now get ready for the best . Meet the most beautiful busty girls nude . Stream them online or download them straight to your computer .'}",0,1,1,0,0,0,0,0,0
http://www.lezpic.com/femalefootsex/index.html,"404 Not Found, Error: Name or service not known",0,1,0,0,0,1,0,0,0
http://www.pornzite.com/dmoz/nurses/naked_nurse/,"404 Not Found, Error: Name or service not known",0,1,1,0,0,0,0,0,0
http://www.cherryboys.net/urchin/,{'summary_text': 'Aradnz sayfay bulamyoruz . Telif Hakk  2024 Mans Club - Tüm Haklar Sakldr . GoDaddy Destekli Web sitesi trafiini analiz etmek ve web sitesi deneyiminizi optimize.'},0,1,1,0,0,0,0,0,0
http://www.lesbian-porno-pictures.com/lesbian_bondage_pictures/index.htm,"404 Not Found, Error: Name or service not known",0,1,0,0,0,1,0,0,0
http://www.old-babes-sex.com/mature-lesbians/,"{'summary_text': 'HELIXSTUDIOS.COM brings you the best gay twink teen sex online! Fresh boy faces and just 18, these boys are brimming with boyhood excitement and ready for anything! From hand-jobs to hardcore, oral to anal, solos, couples and orgies, the site features the most beautiful young boys experimenting with their tight, toned and tasty best buddies!'}",0,1,1,0,0,0,0,0,0
http://www.avsring.com/sites/hotsex/index.html,The requested URL was not found on this server.,0,0,0,0,0,1,0,0,0
